Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
412016_14:36:38,oLtEyTtm,kochSnowflake.png,30,R9,60002,50037,29735,9429,4200,1512,378,168,42,
412016_14:36:49,oLtEyTtm,kochSnowflake.png,40,R9,76362,62441,33007,9448,4200,1512,378,168,42,
412016_14:36:59,oLtEyTtm,kochSnowflake.png,50,R9,91845,73217,34964,9450,4200,1512,378,168,42,
412016_14:37:9,oLtEyTtm,kochSnowflake.png,70,R9,121346,91025,36779,9450,4200,1512,378,168,42,
412016_14:37:18,oLtEyTtm,kochSnowflake.png,100,R9,160321,110422,37574,9450,4200,1512,378,168,42,
412016_14:37:26,oLtEyTtm,kochSnowflake.png,150,R9,216262,130306,37783,9450,4200,1512,378,168,42,
412016_14:37:34,oLtEyTtm,kochSnowflake.png,200,R9,261057,140612,37800,9450,4200,1512,378,168,42,
412016_14:37:40,oLtEyTtm,kochSnowflake.png,300,R9,325072,148668,37800,9450,4200,1512,378,168,42,
412016_14:37:46,oLtEyTtm,kochSnowflake.png,400,R9,364707,150659,37800,9450,4200,1512,378,168,42,
412016_14:37:52,oLtEyTtm,kochSnowflake.png,500,R9,389087,151084,37800,9450,4200,1512,378,168,42,
412016_14:37:57,oLtEyTtm,kochSnowflake.png,600,R9,403615,151182,37800,9450,4200,1512,378,168,42,
412016_14:38:2,oLtEyTtm,kochSnowflake.png,700,R9,411337,151198,37800,9450,4200,1512,378,168,42,
412016_14:38:7,oLtEyTtm,kochSnowflake.png,800,R9,415861,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:11,oLtEyTtm,kochSnowflake.png,900,R9,418139,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:15,oLtEyTtm,kochSnowflake.png,1000,R9,419175,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:20,oLtEyTtm,kochSnowflake.png,1100,R9,419672,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:24,oLtEyTtm,kochSnowflake.png,1200,R9,419892,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:28,oLtEyTtm,kochSnowflake.png,1300,R9,419959,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:32,oLtEyTtm,kochSnowflake.png,1400,R9,419995,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:36,oLtEyTtm,kochSnowflake.png,1500,R9,420000,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:40,oLtEyTtm,kochSnowflake.png,1700,R9,420000,151200,37800,9450,4200,1512,378,168,42,
412016_14:38:44,oLtEyTtm,kochSnowflake.png,1900,R9,420000,151200,37800,9450,4200,1512,378,168,42,
222016_5:1:0,nJZY8R0g,test_images/Larger/kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
222016_5:1:17,nJZY8R0g,test_images/Larger/kochSnowflake.png,1,R9,9999,6128,3630,2328,1782,1135,377,168,42,
222016_5:1:32,nJZY8R0g,test_images/Larger/kochSnowflake.png,2,R9,11951,8033,5378,3674,2673,1406,378,168,42,
222016_5:1:47,nJZY8R0g,test_images/Larger/kochSnowflake.png,3,R9,13769,9797,6957,4749,3242,1485,378,168,42,
222016_5:2:2,nJZY8R0g,test_images/Larger/kochSnowflake.png,4,R9,15780,11729,8558,5612,3607,1507,378,168,42,
222016_5:2:17,nJZY8R0g,test_images/Larger/kochSnowflake.png,5,R9,17279,13180,9797,6230,3783,1509,378,168,42,
