Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
15122015_12:59:19,mLVjktX7,checkers.png,15,R9,223785,88598,28848,9252,4200,1512,378,168,42,
15122015_12:59:27,mLVjktX7,checkers.png,16,R9,224679,89358,29360,9286,4199,1512,378,168,42,
15122015_12:59:34,mLVjktX7,checkers.png,17,R9,225621,90217,29793,9313,4200,1512,378,168,42,
15122015_12:59:44,mLVjktX7,checkers.png,18,R9,226438,90875,30154,9340,4200,1512,378,168,42,
15122015_12:59:51,mLVjktX7,checkers.png,19,R9,227209,91643,30520,9359,4199,1512,378,168,42,
15122015_12:59:59,mLVjktX7,checkers.png,20,R9,228186,92403,30901,9375,4200,1512,378,168,42,
15122015_13:1:42,NFzbzVQA,circle.png,0,R9,1913,1191,617,315,213,127,63,45,23,
15122015_13:1:57,NFzbzVQA,circle.png,1,R9,3822,3080,2467,2004,1711,1155,376,168,42,
15122015_13:2:10,NFzbzVQA,circle.png,2,R9,5692,4937,4192,3347,2616,1405,378,168,42,
15122015_13:2:22,NFzbzVQA,circle.png,3,R9,7511,6717,5810,4442,3152,1488,378,168,42,
15122015_13:2:34,NFzbzVQA,circle.png,4,R9,9330,8466,7327,5304,3522,1498,378,168,42,
15122015_13:2:46,NFzbzVQA,circle.png,5,R9,11088,10154,8771,6067,3753,1506,378,168,42,
15122015_13:2:58,NFzbzVQA,circle.png,6,R9,13200,12179,10381,6728,3956,1512,378,168,42,
15122015_13:3:9,NFzbzVQA,circle.png,7,R9,14959,13837,11682,7181,4040,1512,378,168,42,
15122015_13:3:21,NFzbzVQA,circle.png,8,R9,16717,15496,12906,7587,4094,1512,378,168,42,
15122015_13:3:32,NFzbzVQA,circle.png,9,R9,18345,17012,13991,7893,4124,1512,378,168,42,
15122015_13:3:44,NFzbzVQA,circle.png,10,R9,20350,18901,15282,8251,4153,1512,378,168,42,
15122015_13:3:55,NFzbzVQA,circle.png,11,R9,22260,20618,16459,8481,4173,1512,378,168,42,
15122015_13:4:6,NFzbzVQA,circle.png,12,R9,24152,22340,17536,8649,4183,1512,378,168,42,
15122015_13:4:17,NFzbzVQA,circle.png,13,R9,25926,23911,18493,8796,4193,1512,378,168,42,
15122015_13:4:30,NFzbzVQA,circle.png,14,R9,27569,25394,19426,8889,4193,1512,378,168,42,
15122015_13:4:43,NFzbzVQA,circle.png,15,R9,29307,26968,20318,8999,4189,1512,378,168,42,
15122015_13:4:55,NFzbzVQA,circle.png,16,R9,31017,28377,21117,9072,4199,1512,378,168,42,
15122015_13:5:7,NFzbzVQA,circle.png,17,R9,32475,29644,21730,9144,4198,1512,378,168,42,
15122015_13:5:19,NFzbzVQA,circle.png,18,R9,34435,31480,22753,9193,4200,1512,378,168,42,
15122015_13:5:30,NFzbzVQA,circle.png,19,R9,36368,33075,23535,9239,4197,1512,378,168,42,
15122015_13:5:42,NFzbzVQA,circle.png,20,R9,38119,34567,24236,9273,4199,1512,378,168,42,
15122015_13:6:24,NFzbzVQA,kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
15122015_13:6:38,NFzbzVQA,kochSnowflake.png,1,R9,9966,6094,3585,2271,1760,1109,376,168,42,
15122015_13:6:51,NFzbzVQA,kochSnowflake.png,2,R9,11730,7813,5189,3554,2639,1397,378,168,42,
15122015_13:7:4,NFzbzVQA,kochSnowflake.png,3,R9,13726,9761,6939,4721,3249,1486,378,168,42,
15122015_13:7:17,NFzbzVQA,kochSnowflake.png,4,R9,15586,11556,8494,5560,3601,1504,378,168,42,
15122015_13:7:29,NFzbzVQA,kochSnowflake.png,5,R9,17323,13197,9771,6215,3773,1505,378,168,42,
15122015_13:7:43,NFzbzVQA,kochSnowflake.png,6,R9,19387,15148,11342,6913,3970,1511,378,168,42,
15122015_13:7:55,NFzbzVQA,kochSnowflake.png,7,R9,21034,16722,12550,7306,4054,1512,378,168,42,
15122015_13:8:8,NFzbzVQA,kochSnowflake.png,8,R9,22750,18335,13721,7674,4093,1512,378,168,42,
15122015_13:8:20,NFzbzVQA,kochSnowflake.png,9,R9,24522,19935,14879,8019,4127,1512,378,168,42,
15122015_13:8:31,NFzbzVQA,kochSnowflake.png,10,R9,26302,21515,16018,8291,4144,1512,378,168,42,
15122015_13:8:44,NFzbzVQA,kochSnowflake.png,11,R9,28214,23337,17145,8520,4179,1512,378,168,42,
15122015_13:8:55,NFzbzVQA,kochSnowflake.png,12,R9,29896,24864,18165,8657,4189,1512,378,168,42,
15122015_13:9:7,NFzbzVQA,kochSnowflake.png,13,R9,31545,26231,18917,8767,4188,1512,378,168,42,
15122015_13:9:19,NFzbzVQA,kochSnowflake.png,14,R9,33380,27946,20065,8912,4190,1512,378,168,42,
15122015_13:9:31,NFzbzVQA,kochSnowflake.png,15,R9,35304,29643,20947,9005,4194,1512,378,168,42,
15122015_13:9:42,NFzbzVQA,kochSnowflake.png,16,R9,36957,31079,21691,9075,4196,1512,378,168,42,
15122015_13:9:54,NFzbzVQA,kochSnowflake.png,17,R9,38849,32752,22621,9185,4200,1512,378,168,42,
15122015_13:10:5,NFzbzVQA,kochSnowflake.png,18,R9,40301,34077,23309,9196,4200,1512,378,168,42,
15122015_13:10:16,NFzbzVQA,kochSnowflake.png,19,R9,42453,35763,24030,9259,4199,1512,378,168,42,
15122015_13:10:28,NFzbzVQA,kochSnowflake.png,20,R9,43857,36961,24656,9290,4200,1512,378,168,42,
15122015_13:11:8,NFzbzVQA,canopy.png,0,R9,77410,30618,8905,2625,1295,542,174,83,26,
15122015_13:11:19,NFzbzVQA,canopy.png,1,R9,78981,32153,10345,3889,2366,1261,377,168,42,
15122015_13:11:32,NFzbzVQA,canopy.png,2,R9,80633,33741,11799,4968,3040,1431,378,168,42,
15122015_13:11:44,NFzbzVQA,canopy.png,3,R9,82086,35144,13004,5766,3484,1495,378,168,42,
15122015_13:11:56,NFzbzVQA,canopy.png,4,R9,83620,36580,14253,6454,3745,1508,378,168,42,
15122015_13:12:7,NFzbzVQA,canopy.png,5,R9,85121,38005,15415,7033,3925,1509,378,168,42,
15122015_13:12:19,NFzbzVQA,canopy.png,6,R9,86698,39464,16535,7431,4016,1512,378,168,42,
15122015_13:12:30,NFzbzVQA,canopy.png,7,R9,88145,40800,17495,7774,4078,1512,378,168,42,
15122015_13:12:42,NFzbzVQA,canopy.png,8,R9,89589,42160,18468,8103,4111,1512,378,168,42,
15122015_13:12:53,NFzbzVQA,canopy.png,9,R9,90940,43328,19364,8298,4159,1512,378,168,42,
15122015_13:13:3,NFzbzVQA,canopy.png,10,R9,92440,44753,20213,8551,4176,1512,378,168,42,
15122015_13:13:13,NFzbzVQA,canopy.png,11,R9,93970,46128,21119,8695,4189,1512,378,168,42,
15122015_13:13:23,NFzbzVQA,canopy.png,12,R9,95345,47394,21941,8841,4192,1512,378,168,42,
15122015_13:13:33,NFzbzVQA,canopy.png,13,R9,96891,48780,22703,8921,4191,1512,378,168,42,
15122015_13:13:43,NFzbzVQA,canopy.png,14,R9,98613,50194,23537,9059,4196,1512,378,168,42,
15122015_13:13:54,NFzbzVQA,canopy.png,15,R9,99847,51295,24237,9112,4196,1512,378,168,42,
15122015_13:14:6,NFzbzVQA,canopy.png,16,R9,101505,52777,24928,9177,4196,1512,378,168,42,
15122015_13:14:22,NFzbzVQA,canopy.png,17,R9,102560,53654,25438,9226,4199,1512,378,168,42,
15122015_13:14:32,NFzbzVQA,canopy.png,18,R9,104114,54985,26062,9276,4199,1512,378,168,42,
15122015_13:14:42,NFzbzVQA,canopy.png,19,R9,105769,56468,26798,9314,4200,1512,378,168,42,
15122015_13:14:52,NFzbzVQA,canopy.png,20,R9,107370,57830,27380,9358,4200,1512,378,168,42,
15122015_13:15:28,NFzbzVQA,checkers.png,0,R9,210000,75600,18900,5334,2100,756,294,84,42,
15122015_13:15:37,NFzbzVQA,checkers.png,1,R9,210910,76506,19792,6039,2827,1285,377,168,42,
15122015_13:15:45,NFzbzVQA,checkers.png,2,R9,211893,77475,20719,6717,3356,1455,378,168,42,
15122015_13:15:53,NFzbzVQA,checkers.png,3,R9,212731,78308,21456,7147,3620,1495,378,168,42,
15122015_13:16:2,NFzbzVQA,checkers.png,4,R9,213772,79307,22348,7611,3867,1510,378,168,42,
15122015_13:16:10,NFzbzVQA,checkers.png,5,R9,214713,80209,23096,7968,3973,1512,378,168,42,
15122015_13:16:18,NFzbzVQA,checkers.png,6,R9,215586,81056,23805,8186,4073,1511,378,168,42,
15122015_13:16:26,NFzbzVQA,checkers.png,7,R9,216559,81977,24514,8423,4105,1512,378,168,42,
15122015_13:16:34,NFzbzVQA,checkers.png,8,R9,217447,82820,25172,8627,4146,1512,378,168,42,
15122015_13:16:42,NFzbzVQA,checkers.png,9,R9,218244,83577,25739,8759,4156,1512,378,168,42,
15122015_13:16:49,NFzbzVQA,checkers.png,10,R9,219183,84419,26299,8893,4181,1512,378,168,42,
15122015_13:16:57,NFzbzVQA,checkers.png,11,R9,220242,85397,26979,8994,4187,1512,378,168,42,
15122015_13:17:5,NFzbzVQA,checkers.png,12,R9,221339,86422,27533,9075,4191,1512,378,168,42,
15122015_13:17:13,NFzbzVQA,checkers.png,13,R9,221851,86844,27902,9146,4196,1512,378,168,42,
15122015_13:17:20,NFzbzVQA,checkers.png,14,R9,222936,87920,28511,9221,4196,1512,378,168,42,
15122015_13:17:28,NFzbzVQA,checkers.png,15,R9,223957,88775,29019,9254,4198,1512,378,168,42,
15122015_13:17:36,NFzbzVQA,checkers.png,16,R9,224644,89373,29371,9276,4196,1512,378,168,42,
15122015_13:17:44,NFzbzVQA,checkers.png,17,R9,225372,90027,29665,9312,4199,1512,378,168,42,
15122015_13:17:51,NFzbzVQA,checkers.png,18,R9,226337,90761,30004,9336,4200,1512,378,168,42,
15122015_13:17:59,NFzbzVQA,checkers.png,19,R9,227428,91774,30573,9379,4200,1512,378,168,42,
15122015_13:18:6,NFzbzVQA,checkers.png,20,R9,228403,92547,30969,9365,4199,1512,378,168,42,
